"release_year","count ( show_id )"
"1,925 - 1,926","1"
"1,942 - 1,943","2"
"1,943 - 1,944","3"
"1,944 - 1,945","3"
"1,945 - 1,946","4"
"1,946 - 1,947","2"
"1,947 - 1,948","1"
"1,954 - 1,955","2"
"1,955 - 1,956","3"
"1,956 - 1,957","2"
"1,958 - 1,959","3"
"1,959 - 1,960","1"
"1,960 - 1,961","4"
"1,961 - 1,962","1"
"1,962 - 1,963","3"
"1,963 - 1,964","2"
"1,964 - 1,965","2"
"1,965 - 1,966","2"
"1,966 - 1,967","1"
"1,967 - 1,968","5"
"1,968 - 1,969","3"
"1,969 - 1,970","2"
"1,970 - 1,971","2"
"1,971 - 1,972","5"
"1,972 - 1,973","5"
"1,973 - 1,974","10"
"1,974 - 1,975","7"
"1,975 - 1,976","7"
"1,976 - 1,977","9"
"1,977 - 1,978","7"
"1,978 - 1,979","7"
"1,979 - 1,980","11"
"1,980 - 1,981","11"
"1,981 - 1,982","13"
"1,982 - 1,983","17"
"1,983 - 1,984","11"
"1,984 - 1,985","12"
"1,985 - 1,986","10"
"1,986 - 1,987","13"
"1,987 - 1,988","8"
"1,988 - 1,989","18"
"1,989 - 1,990","16"
"1,990 - 1,991","22"
"1,991 - 1,992","17"
"1,992 - 1,993","23"
"1,993 - 1,994","28"
"1,994 - 1,995","22"
"1,995 - 1,996","25"
"1,996 - 1,997","24"
"1,997 - 1,998","38"
"1,998 - 1,999","36"
"1,999 - 2,000","39"
"2,000 - 2,001","37"
"2,001 - 2,002","45"
"2,002 - 2,003","51"
"2,003 - 2,004","61"
"2,004 - 2,005","64"
"2,005 - 2,006","80"
"2,006 - 2,007","96"
"2,007 - 2,008","88"
"2,008 - 2,009","136"
"2,009 - 2,010","152"
"2,010 - 2,011","194"
"2,011 - 2,012","185"
"2,012 - 2,013","237"
"2,013 - 2,014","288"
"2,014 - 2,015","352"
"2,015 - 2,016","560"
"2,016 - 2,017","902"
"2,017 - 2,018","1032"
"2,018 - 2,019","1147"
"2,019 - 2,020","1030"
"2,020 - 2,021","953"
"2,021 - 2,022","592"
