"genre_list","count ( rating )"
"International Movies","2228"
"Dramas","1877"
"International TV Shows","1262"
"Comedies","1204"
"Documentaries","809"
"TV Dramas","718"
"Independent Movies","652"
"Action & Adventure","542"
"TV Comedies","533"
"Children & Family Movies","507"
"Thrillers","476"
"Crime TV Shows","453"
"Romantic Movies","448"
"Kids' TV","399"
"Docuseries","370"
"Romantic TV Shows","334"
"Stand-Up Comedy","311"
"Music & Musicals","284"
"Horror Movies","282"
"Reality TV","247"
"British TV Shows","231"
"Sports Movies","185"
"Spanish-Language TV Shows","161"
"Sci-Fi & Fantasy","155"
"TV Action & Adventure","153"
"Korean TV Shows","146"
"Anime Series","144"
"TV Mysteries","96"
"LGBTQ Movies","94"
"Science & Nature TV","85"
"TV Sci-Fi & Fantasy","75"
"TV Horror","74"
"Teen TV Shows","60"
"Faith & Spirituality","57"
"TV Thrillers","55"
"Stand-Up Comedy & Talk Shows","54"
"Movies","51"
"Anime Features","47"
"Classic & Cult TV","13"
"TV Shows","10"
"Cult Movies","8"
"Classic Movies","1"
